1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
177253,149845,148839,148067,148564,144206,158212,144405,147978,146070,145736,146325,145779,146066,144667,144380
148101,101819,89802.7,84288.9,107824,99028.8,96543,97586,100235,106690,95313.4,94474.8,95522.5,91769.3,92136.6,93133.3
151455,106128,89747.2,91427.3,111997,100717,99507.8,101827,96822.5,97743.2,93995.9,92905.1,98473.9,100299,93918.6,90306.7
148144,102228,87094.9,82395.9,106533,104063,96711.2,108724,98510.7,97719.3,94512.6,91414.7,90418.2,94041.3,92292.7,94427.7
