1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
19.427,688.367,74.608,454.526,3986.04,7111.66,18188.3,43153,14670.1,185.281,174.083,123.014,99.4,113.294,115.576,174.83
109.306,320.917,209.248,196.158,222.76,13586.5,15450.6,5223.33,510.68,260.745,199.411,191.396,320.865,233.601,182.524,175.496
3638.85,5651.88,9381.35,6216.93,7384.13,6739.87,5454.15,27543,14498.9,4424.59,2068.14,2361.62,4234.89,2887.47,4243.14,2190.64
149009,156799,200528,163944,149942,188577,185895,159050,176940,161640,138071,184864,144718,141259,155662,164101
