1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
16.7,156.939,134.463,83.159,18.948,24.286,21.98,21.045,57.745,109.138,57.057,50.099,49.259,72.086,76.299,87.208
11.815,115.197,32.511,131.506,15.966,17.637,18.122,16.997,11885.3,76.553,63.408,62.493,86.295,88.284,112.111,113.134
221.132,182.754,220.452,66.829,51.234,36.975,32.785,44.306,6826.96,121.957,120.106,137.562,125.465,134.754,128.3,129.87
2213.98,1141.18,683.908,531.191,442.83,353.452,311.895,273.688,446.234,432.313,568.337,372.333,538.64,586.765,611.149,557.899
44175.5,15141.7,10254.1,7925.08,6557.69,5584.74,4785.2,4189.57,6330.86,5999.47,5711.12,5297.49,5015.21,4555.7,4232.19,5495.19
463777,238931,161144,122991,100922,86181.9,80178.5,72709.3,91066.7,79461.1,74239.6,68235.1,68111.1,71414.9,69444.3,67492
