1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4.187,142.619,27.933,94.466,25.68,23.052,21.36,23903.4,247.05,88.318,89.675,137.298,471.178,113.805,119.042,107.908
3.206,41.426,301.798,273.145,17.871,27.631,33.466,24575.2,8004.94,446.704,112.333,121.843,105.363,112.597,186.799,164.842
61.55,162.661,257.553,44.371,103.24,72.093,9327.28,339.67,86.022,103.225,89.218,86.967,136.073,745.955,93.611,97.585
880.615,640.808,131.691,135.188,136.892,16281.6,23516.4,17670.3,596.935,421.818,403.913,1014.51,690.049,317.129,637.684,360.671
6900.92,5479.38,3602.11,2710.3,2350.6,2522.49,7339.97,30442.7,10144.3,2402.8,2301.54,3890.04,2699.78,2726.02,2609.07,2123.42
137018,126704,137784,131328,114487,122430,113533,105596,99894.7,104419,97591.1,97035.3,88954.8,95680.9,86198.4,90582.4
