1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
155696,102065,99653.8,97771.8,97187.2,98915.1,97954.6,97967.3,118411,107158,110682,130057,121252,100372,97464.4,96807.3
148679,124456,88272.9,69419.1,84047.2,58303,90980.8,79192.3,75340.3,50758,54818.7,46593.1,48983.8,47686.5,46677.4,48384.6
106543,58230.7,42047.7,37818.3,55498.2,55063.7,51746,57791.7,50195.6,48792.7,47442.7,46194.4,46904.4,45809,56823,48458.4
103492,55108.8,41028.6,35822.8,37046.9,38746.3,40321,42236.5,43291.3,42216.9,42127.4,44210.1,46006.8,46651.6,44145.7,43815.4
101751,55858.9,40908.9,36480,54144,45638,44566.2,42945.2,43990.1,41975.6,43204.6,45903.6,42636.9,42844.6,58388.8,50426.4
102230,57341.5,41789.3,53817.5,55769.6,52411.2,46464,44165.4,49866,46295.1,47419.7,46220,46872.8,53139.4,58763.3,48083
