1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6.462,134.706,161.596,37.876,25.401,30.155,349.7,18307.4,17927.6,1161.4,290.956,247.608,282.943,430.705,535.754,91.094
12.248,2890.46,2951.99,375.397,16.434,25.893,3102.07,37426,1484.55,76.417,122.689,97.562,90.748,141.846,121.947,153.482
47.898,80.149,152.969,41.372,34.9,32.689,32341.7,31961.7,17248.1,130.918,101.154,131.728,139.392,115.484,154.463,131.655
725.893,611.751,501.006,532.484,2543.24,1408.82,17941.2,29449.6,485.996,980.507,722.338,277.304,573.66,279.145,623.865,336.207
13150.9,10281.2,9875.3,9844.91,9488.81,15011.9,10383,24210.8,14796.1,4682.3,9193.32,6549.48,20005.7,6731.67,6151.74,7608.61
216557,183272,161232,159191,171683,169462,216084,195261,211804,212055,217075,215464,227776,202622,181587,170409
