1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2.021,15.966,16.862,28.154,151.882,1655.57,2996.81,8102.25,73.822,146.191,55.382,47.248,163.467,107.978,76.68,65.585
6.6,40.091,23.182,20.009,72.205,43.144,41.905,28.776,47.03,49.533,57.283,59.436,65.025,76.517,179.948,265.143
90.643,153.402,90.422,126.398,61.149,82.641,3462.27,15521.6,74.648,129.233,160.108,180.909,219.7,996.71,75.404,132.714
523.585,527.395,417.97,689.373,314.368,321.829,3517.22,5814.18,491.526,381.922,475.205,370.895,485.396,399.047,388.714,355.839
8949.27,6927.32,6456.61,8133.87,7000.68,4093.49,5994.49,10525.2,4370.06,3776.16,4751.74,4647.76,10808.5,4730.2,3956.96,3977.17
156568,106604,92530.7,88175.2,113917,97397.8,55627,89300,73293.5,74323.5,72431.9,63459.2,73910.2,56551,75513.5,67489.9
