1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
13.779,121.442,123.276,7043.29,37755,24194.5,38137.5,20483.3,24652,1182.7,936.654,856.859,918.183,1121.95,1150.64,1234.23
15.536,188.031,499.925,600.886,29686.7,24941.2,27824.6,31454.9,32433.5,2569.25,2968.77,6698.27,4135.06,4649.49,5500.89,10060.8
187.314,2044.46,4730.16,10344.6,36157.2,22394.7,37036.4,44825.3,49008.4,13653.9,27136.7,35327,39084.3,41527.3,18628.9,19946.9
692.414,3548.37,19685.3,55336.3,91546.9,58152.9,51669.7,97443.9,113465,51500.6,53360.7,58195.8,66757.2,70999.8,79188.7,82523.7
9506.06,19521.8,34386.4,85590.6,142455,224371,289405,515868,502556,184944,227487,353987,313226,359870,437255,339577
163446,165406,197137,319684,563926,749934,1.28979e+06,1.63956e+06,2.90744e+06,1.02263e+06,1.02061e+06,1.05132e+06,1.29301e+06,1.40187e+06,1.43593e+06,1.38389e+06
