1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8.154,5831.49,1279.42,38.615,110.55,1111.72,708.747,20202.4,102.393,104.497,95.629,100.109,94.407,97.781,107.029,88.054
39.655,77.613,95.469,51.901,47.05,51.925,92.473,19.701,4087.66,79.093,109.811,115.867,77.896,99.417,145.09,83.257
224.478,237.441,161.596,78.354,97.976,104.03,97.088,3775.83,843.938,215.893,174.825,205.482,168.69,191.284,164.75,212.373
4291.82,1887.78,1200.54,983.394,1363.5,1618.86,1818.12,1770.09,2676.24,1332.57,1493.47,1372.83,1356.19,2003.94,2965.7,2004.58
50729.3,25691.1,16912.1,14633,22976.6,21285.9,18620.2,18045.9,20056.1,18319.2,23672.7,19722.4,19682.7,18766.7,18547.8,17502.3
931915,406597,282563,242198,325769,310854,304780,282498,302145,298866,302662,284266,315814,310325,291131,299204
